Subject,PRE1,PRE2,POST1,POST2
1,4,3,5,4
2,6,5,9,5
3,9,4,5,3
4,12,6,8,5
5,16,5,10,9
6,15,13,9,8
7,14,8,12,5
8,12,7,5,5
9,12,3,8,7
10,8,8,7,7
11,13,7,12,4
12,9,2,4,4
13,12,5,4,6
14,12,2,8,8
15,12,2,6,4
16,10,10,9,10
17,8,5,3,3
18,12,5,5,5
19,11,3,4,5
20,8,4,2,3
21,7,3,5,4
22,9,6,7,8
23,7,2,7,6
24,7,6,5,6
25,12,4,13,3
26,10,1,5,7
27,16,8,14,7
28,15,7,14,6
29,9,6,10,9
30,8,7,13,5
31,13,7,12,7
32,12,8,11,6
33,7,6,8,5
34,6,2,7,0
35,8,4,10,6
36,9,6,8,6
37,9,4,8,7
38,8,4,10,11
39,9,5,12,6
40,13,6,10,6
41,10,2,11,6
42,8,6,7,8
43,8,5,8,8
44,10,6,12,6
45,11,7,11,12
46,7,6,4,8
47,4,6,4,10
48,7,2,4,4
49,7,6,3,9
50,6,5,8,5
51,11,5,12,8
52,14,6,14,12
53,13,6,12,11
54,9,5,7,11
55,12,3,5,10
56,13,9,9,9
57,4,6,1,10
58,13,8,13,1
59,6,4,7,9
60,12,3,5,13
61,6,6,7,9
62,11,4,11,7
63,14,4,15,7
64,8,2,9,5
65,5,3,6,8
66,8,3,4,6
